1,https://www.amazon.com/gp/new-releases/boost,Amazon Launchpad
2,https://www.amazon.com/gp/new-releases/appliances,Appliances
3,https://www.amazon.com/gp/new-releases/mobile-apps,Apps & Games
4,https://www.amazon.com/gp/new-releases/arts-crafts,Arts Crafts & Sewing
5,https://www.amazon.com/gp/new-releases/automotive,Automotive
6,https://www.amazon.com/gp/new-releases/baby-products,Baby
7,https://www.amazon.com/gp/new-releases/beauty,Beauty & Personal Care
8,https://www.amazon.com/gp/new-releases/books,Books
9,https://www.amazon.com/gp/new-releases/music,CDs & Vinyl
10,https://www.amazon.com/gp/new-releases/photo,Camera & Photo
11,https://www.amazon.com/gp/new-releases/wireless,Cell Phones & Accessories
12,https://www.amazon.com/gp/new-releases/fashion,Clothing Shoes & Jewelry
13,https://www.amazon.com/gp/new-releases/coins,Collectible Coins
14,https://www.amazon.com/gp/new-releases/pc,Computers & Accessories
15,https://www.amazon.com/gp/new-releases/dmusic,Digital Music
16,https://www.amazon.com/gp/new-releases/electronics,Electronics
17,https://www.amazon.com/gp/new-releases/entertainment-collectibles,Entertainment Collectibles
18,https://www.amazon.com/gp/new-releases/grocery,Grocery & Gourmet Food
19,https://www.amazon.com/gp/new-releases/home-garden,Home & Kitchen
20,https://www.amazon.com/gp/new-releases/digital-text,Kindle Store
21,https://www.amazon.com/gp/new-releases/kitchen,Kitchen & Dining
22,https://www.amazon.com/gp/new-releases/movies-tv,Movies & TV
23,https://www.amazon.com/gp/new-releases/musical-instruments,Musical Instruments
24,https://www.amazon.com/gp/new-releases/office-products,Office Products
25,https://www.amazon.com/gp/new-releases/lawn-garden,Patio Lawn & Garden
26,https://www.amazon.com/gp/new-releases/pet-supplies,Pet Supplies
27,https://www.amazon.com/gp/new-releases/pantry,Prime Pantry
28,https://www.amazon.com/gp/new-releases/software,Software
29,https://www.amazon.com/gp/new-releases/sporting-goods,Sports & Outdoors
30,https://www.amazon.com/gp/new-releases/sports-collectibles,Sports Collectibles
31,https://www.amazon.com/gp/new-releases/hi,Tools & Home Improvement
32,https://www.amazon.com/gp/new-releases/toys-and-games,Toys & Games
33,https://www.amazon.com/gp/new-releases/videogames,Video Games
